continent,date,new_cases,new_deaths,new_vaccinations,population
Africa,2020-02,3.0,0.0,0.0,4711165792.0
Africa,2020-03,5764.0,198.0,0.0,30676535008.0
Africa,2020-04,32993.0,1436.0,0.0,42607419850.0
Africa,2020-05,108124.0,2588.0,0.0,44142836111.0
Africa,2020-06,258340.0,5924.0,0.0,42745650990.0
Africa,2020-07,523189.0,9537.0,0.0,44170506023.0
Africa,2020-08,324253.0,10132.0,0.0,44170506023.0
Africa,2020-09,229702.0,6083.0,0.0,42745780614.0
Africa,2020-10,303545.0,6993.0,0.0,44170673454.0
Africa,2020-11,388843.0,9140.0,0.0,42745813020.0
Africa,2020-12,586170.0,13476.0,0.0,44170673454.0
Africa,2021-01,809148.0,25536.0,53652.0,44170673454.0
Africa,2021-02,327680.0,12736.0,3081969.0,39896092152.0
Africa,2021-03,319961.0,9049.0,4171895.0,44170673454.0
Africa,2021-04,340423.0,9027.0,2792719.0,42745813020.0
Africa,2021-05,282686.0,8852.0,6903009.0,44170673454.0
Africa,2021-06,664182.0,12305.0,7034954.0,42745813020.0
Africa,2021-07,1204828.0,27133.0,8915939.0,44170673454.0
Africa,2021-08,1081053.0,26210.0,14340610.0,44170673454.0
Africa,2021-09,520504.0,14129.0,11164638.0,42745813020.0
Africa,2021-10,193779.0,7837.0,4750025.0,44170673454.0
Africa,2021-11,164029.0,4932.0,10720834.0,42745813020.0
Africa,2021-12,1069150.0,5285.0,8675798.0,44170673454.0
Africa,2022-01,1130918.0,10220.0,5226943.0,44170673454.0
Africa,2022-02,446100.0,9828.0,16181971.0,39896092152.0
Africa,2022-03,225752.0,3154.0,5279223.0,44170673454.0
Africa,2022-04,114022.0,928.0,2150005.0,42746389025.0
Africa,2022-05,212649.0,1201.0,2930539.0,44170673454.0
Africa,2022-06,178315.0,963.0,1522555.0,42745813020.0
Africa,2022-07,195306.0,997.0,572883.0,44170673454.0
Africa,2022-08,67092.0,494.0,324218.0,44170673454.0
Africa,2022-09,31668.0,239.0,206625.0,42745813020.0
Africa,2022-10,29001.0,215.0,123067.0,44170673454.0
Africa,2022-11,14914.0,92.0,71444.0,18523185642.0
Asia,2020-01,9333.0,196.0,0.0,23187252622.0
Asia,2020-02,73839.0,2691.0,0.0,103146333539.0
Asia,2020-03,96833.0,4240.0,0.0,138650603126.0
Asia,2020-04,342990.0,10272.0,0.0,140822815796.0
Asia,2020-05,618468.0,12125.0,0.0,146165763003.0
Asia,2020-06,1166691.0,26144.0,0.0,141450738390.0
Asia,2020-07,1991759.0,39750.0,0.0,146165763003.0
Asia,2020-08,2818014.0,46431.0,0.0,146165763003.0
Asia,2020-09,3555356.0,52406.0,0.0,141450738390.0
Asia,2020-10,3046598.0,48216.0,0.0,146165763003.0
Asia,2020-11,3077099.0,48918.0,0.0,141450738390.0
Asia,2020-12,3101894.0,45603.0,1016640.0,146165763003.0
Asia,2021-01,2398667.0,35473.0,12815460.0,146172654051.0
Asia,2021-02,1909888.0,25658.0,27242858.0,132037839349.0
Asia,2021-03,3484925.0,31818.0,118454342.0,146376985006.0
Asia,2021-04,11017797.0,92765.0,263634173.0,141655146780.0
Asia,2021-05,11741131.0,165862.0,507314022.0,146376985006.0
