location,date,new_cases,new_deaths,new_vaccinations,population
Afghanistan,2020,52332.0,2189.0,0.0,12832176864.0
Afghanistan,2021,105754.0,5167.0,6874.0,15012001780.0
Afghanistan,2022,46432.0,473.0,53285.0,13037820724.0
Africa,2020,2760926.0,65507.0,0.0,460835926322.0
Africa,2021,6977423.0,163031.0,310645245.0,520758864110.0
Africa,2022,2645737.0,28331.0,369101978.0,452275506638.0
Albania,2020,58316.0,1181.0,0.0,883960898.0
Albania,2021,151908.0,2036.0,1378369.0,1037446070.0
Albania,2022,122932.0,376.0,39322.0,901014806.0
Algeria,2020,99610.0,2756.0,0.0,13964903908.0
Algeria,2021,118822.0,3520.0,170786.0,16389678220.0
Algeria,2022,52507.0,605.0,0.0,14234323276.0
Andorra,2020,8049.0,84.0,0.0,24352115.0
Andorra,2021,15691.0,56.0,4802.0,29142695.0
Andorra,2022,22924.0,17.0,0.0,25310231.0
Angola,2020,17553.0,408.0,0.0,10214041852.0
Angola,2021,64040.0,1365.0,0.0,12989983540.0
Angola,2022,21538.0,147.0,0.0,11281711732.0
Anguilla,2020,13.0,0.0,0.0,4429683.0
Anguilla,2021,1661.0,6.0,1421.0,5795105.0
Anguilla,2022,2230.0,7.0,0.0,5033009.0
Antigua and Barbuda,2020,160.0,5.0,0.0,27568968.0
Antigua and Barbuda,2021,4125.0,114.0,8107.0,34226780.0
Antigua and Barbuda,2022,4823.0,27.0,305.0,29725724.0
Argentina,2020,1625514.0,43245.0,22909.0,16656778584.0
Argentina,2021,4028894.0,73924.0,78227460.0,16611268260.0
Argentina,2022,4067310.0,12842.0,31853333.0,14426772708.0
Armenia,2020,159409.0,2823.0,0.0,925897176.0
Armenia,2021,185521.0,5151.0,0.0,1014872280.0
Armenia,2022,100467.0,737.0,0.0,881409624.0
Aruba,2020,5489.0,50.0,0.0,31298946.0
Aruba,2021,14972.0,132.0,105869.0,38857535.0
Aruba,2022,23816.0,112.0,7755.0,33747503.0
Asia,2020,19898874.0,336992.0,4032162.0,1628877262650.0
Asia,2021,64275714.0,914663.0,6250561292.0,1723304930050.0
Asia,2022,106076062.0,237532.0,2529188195.0,1496678528290.0
Australia,2020,28425.0,910.0,0.0,8926496810.0
Australia,2021,397071.0,1346.0,42436659.0,9554754650.0
Australia,2022,10087959.0,13269.0,15550756.0,8298238970.0
Austria,2020,356064.0,7486.0,4496.0,2780220887.0
Austria,2021,914748.0,9329.0,16636920.0,3262960205.0
Austria,2022,4233375.0,4383.0,3288200.0,2833858589.0
Azerbaijan,2020,218700.0,2641.0,0.0,3169571868.0
Azerbaijan,2021,398247.0,5717.0,8946086.0,3780698470.0
Azerbaijan,2022,206799.0,1605.0,1772982.0,3283510726.0
Bahamas,2020,7871.0,170.0,0.0,119306799.0
Bahamas,2021,16653.0,547.0,9258.0,149645985.0
Bahamas,2022,12960.0,116.0,0.0,129966513.0
Bahrain,2020,92675.0,352.0,19678.0,459337944.0
Bahrain,2021,189387.0,1042.0,2758815.0,537366505.0
Bahrain,2022,411430.0,138.0,174944.0,466699129.0
Bangladesh,2020,513510.0,7559.0,0.0,51184724032.0
Bangladesh,2021,1072029.0,20513.0,69585560.0,62483024320.0
Bangladesh,2022,450627.0,1355.0,56015069.0,54266078656.0
Barbados,2020,383.0,7.0,0.0,81677340.0
Barbados,2021,28182.0,253.0,277911.0,102800790.0
Barbados,2022,74859.0,300.0,15362.0,89281782.0
Belarus,2020,194284.0,1424.0,0.0,2936766448.0
Belarus,2021,504826.0,4154.0,0.0,3480258940.0
Belarus,2022,294927.0,1540.0,0.0,3022581052.0
Belgium,2020,646496.0,19645.0,620.0,3869766436.0
Belgium,2021,1458847.0,8803.0,21728241.0,4254411895.0
Belgium,2022,2517380.0,4645.0,7660197.0,3694927591.0
Belize,2020,10776.0,248.0,0.0,115100940.0
Belize,2021,22064.0,358.0,122692.0,147929025.0
Belize,2022,36132.0,85.0,0.0,128475345.0
Benin,2020,3460.0,44.0,0.0,3885683424.0
Benin,2021,21684.0,117.0,0.0,4873795360.0
Benin,2022,2977.0,2.0,0.0,4232857888.0
Bermuda,2020,604.0,10.0,0.0,18491616.0
Bermuda,2021,5816.0,100.0,0.0,23435555.0
Bermuda,2022,12008.0,39.0,0.0,20353619.0
Bhutan,2020,670.0,0.0,0.0,235519557.0
Bhutan,2021,1990.0,3.0,862033.0,285596805.0
Bhutan,2022,59770.0,18.0,0.0,248038869.0
Bolivia,2020,160124.0,9165.0,0.0,3618337744.0
Bolivia,2021,439629.0,10515.0,9667900.0,4461801610.0
Bolivia,2022,510069.0,2563.0,4897686.0,3875044138.0
Bonaire Sint Eustatius and Saba,2020,196.0,3.0,0.0,7412248.0
Bonaire Sint Eustatius and Saba,2021,3210.0,22.0,0.0,9873980.0
Bonaire Sint Eustatius and Saba,2022,8084.0,15.0,0.0,8575484.0
Bosnia and Herzegovina,2020,110985.0,4061.0,0.0,976526060.0
Bosnia and Herzegovina,2021,180328.0,9403.0,93862.0,1180238450.0
Bosnia and Herzegovina,2022,108872.0,2742.0,0.0,1025029010.0
Botswana,2020,14805.0,42.0,0.0,728593100.0
Botswana,2021,204704.0,2402.0,10435.0,960059500.0
Botswana,2022,106835.0,346.0,0.0,833805100.0
Brazil,2020,7700828.0,195072.0,0.0,66747186240.0
Brazil,2021,14485929.0,424262.0,330736311.0,78589428960.0
Brazil,2022,12616495.0,69405.0,121429926.0,68254380768.0
British Virgin Islands,2020,86.0,1.0,0.0,8741628.0
British Virgin Islands,2021,3406.0,38.0,0.0,11436180.0
British Virgin Islands,2022,3813.0,25.0,0.0,9932244.0
Brunei,2020,157.0,3.0,0.0,133802596.0
Brunei,2021,15331.0,95.0,259735.0,163885730.0
Brunei,2022,229129.0,127.0,0.0,142333634.0
Bulgaria,2020,202266.0,7576.0,2889.0,2027804545.0
Bulgaria,2021,544842.0,23379.0,3535875.0,2475413575.0
Bulgaria,2022,536464.0,6999.0,848843.0,2149879735.0
Burkina Faso,2020,6707.0,85.0,0.0,6734107908.0
Burkina Faso,2021,10925.0,233.0,0.0,8275923860.0
Burkina Faso,2022,3999.0,69.0,0.0,7187583188.0
Burundi,2020,818.0,2.0,0.0,3557524908.0
Burundi,2021,26548.0,36.0,460.0,4704697795.0
Burundi,2022,23208.0,0.0,0.0,4085997811.0
Cambodia,2020,378.0,0.0,0.0,5701069340.0
Cambodia,2021,120115.0,3012.0,30108227.0,6120265615.0
Cambodia,2022,17503.0,44.0,6374714.0,5315408767.0
Cameroon,2020,26277.0,448.0,0.0,8402277142.0
Cameroon,2021,83090.0,1403.0,10290.0,10188807830.0
Cameroon,2022,14626.0,114.0,0.0,8848909814.0
Canada,2020,590249.0,15737.0,96165.0,13228288832.0
Canada,2021,1633486.0,14585.0,68740376.0,14035829720.0
Canada,2022,2195597.0,17320.0,24310152.0,12190021976.0
Cape Verde,2020,11840.0,113.0,0.0,170237494.0
Cape Verde,2021,29892.0,240.0,7462.0,216504130.0
Cape Verde,2022,20961.0,58.0,0.0,188032354.0
Cayman Islands,2020,338.0,2.0,0.0,20204268.0
Cayman Islands,2021,8480.0,9.0,15339.0,25083530.0
Cayman Islands,2022,22376.0,26.0,0.0,21784874.0
Central African Republic,2020,4963.0,63.0,0.0,1629111216.0
Central African Republic,2021,7200.0,38.0,12887.0,2036389020.0
Central African Republic,2022,3126.0,12.0,0.0,1768589916.0
Chad,2020,2113.0,104.0,0.0,5104313856.0
Chad,2021,3590.0,77.0,0.0,6469008880.0
Chad,2022,1928.0,13.0,0.0,5618289904.0
Chile,2020,608973.0,15551.0,8229.0,6135969368.0
Chile,2021,1197521.0,22720.0,44290607.0,7155363640.0
Chile,2022,3032164.0,11446.0,18216112.0,6214384312.0
China,2020,93153.0,3327.0,0.0,491931139200.0
China,2021,21489.0,5.0,2754869000.0,520448886400.0
China,2022,1006157.0,592.0,605794000.0,452006293120.0
Colombia,2020,1642775.0,43213.0,0.0,15614082428.0
Colombia,2021,3514665.0,86729.0,40326466.0,18934020220.0
Colombia,2022,1153919.0,11920.0,9963841.0,16444066876.0
Comoros,2020,823.0,10.0,0.0,205848618.0
Comoros,2021,5692.0,147.0,0.0,305425795.0
Comoros,2022,2364.0,6.0,0.0,265260211.0
Congo,2020,7107.0,139.0,0.0,1743365560.0
Congo,2021,12982.0,259.0,1486.0,2179206950.0
Congo,2022,4748.0,19.0,0.0,1892626310.0
Cook Islands,2021,2.0,0.0,0.0,3832200.0
Cook Islands,2022,6387.0,1.0,0.0,5399144.0
Costa Rica,2020,169321.0,2185.0,0.0,1559431636.0
Costa Rica,2021,401235.0,5168.0,0.0,1891005140.0
Costa Rica,2022,570308.0,1670.0,0.0,1642325012.0
Cote d'Ivoire,2020,22524.0,137.0,0.0,8335522208.0
Cote d'Ivoire,2021,48514.0,577.0,2055392.0,10278600020.0
Cote d'Ivoire,2022,16847.0,115.0,223318.0,8926893716.0
Croatia,2020,210837.0,3920.0,0.0,1253442271.0
Croatia,2021,504408.0,8618.0,3209851.0,1471081765.0
Croatia,2022,534854.0,4685.0,587483.0,1277624437.0
Cuba,2020,11863.0,147.0,0.0,3307598410.0
Cuba,2021,954141.0,8176.0,26683881.0,4092452270.0
Cuba,2022,145317.0,208.0,9695649.0,3554266766.0
Curacao,2020,4260.0,14.0,0.0,56013689.0
Curacao,2021,17065.0,175.0,158974.0,69778145.0
Curacao,2022,24182.0,104.0,32567.0,60601841.0
Cyprus,2020,22346.0,120.0,0.0,267010086.0
