location,new_cases,new_deaths,new_vaccinations,population
Afghanistan,204518.0,7829.0,60159.0,40881999368.0
Africa,12384086.0,256869.0,679747223.0,1433870297070.0
Albania,333156.0,3593.0,1417691.0,2822421774.0
Algeria,270939.0,6881.0,170786.0,44588905404.0
Andorra,46664.0,157.0,4802.0,78805041.0
Angola,103131.0,1920.0,0.0,34485737124.0
Anguilla,3904.0,13.0,1421.0,15257797.0
Antigua and Barbuda,9108.0,146.0,8412.0,91521472.0
Argentina,9721718.0,130011.0,110103702.0,47694819552.0
Armenia,445397.0,8711.0,0.0,2822179080.0
Aruba,44277.0,294.0,113624.0,103903984.0
Asia,190250650.0,1489187.0,8783781649.0,4848860720990.0
Australia,10513455.0,15525.0,57987415.0,26779490430.0
Austria,5504187.0,21198.0,19929616.0,8877039681.0
Azerbaijan,823746.0,9963.0,10719068.0,10233781064.0
Bahamas,37484.0,833.0,9258.0,398919297.0
Bahrain,693492.0,1532.0,2953437.0,1463403578.0
Bangladesh,2036166.0,29427.0,125600629.0,167933827008.0
Barbados,103424.0,560.0,293273.0,273759912.0
Belarus,994037.0,7118.0,0.0,9439606440.0
Belgium,4622723.0,33093.0,29389058.0,11819105922.0
Belize,68972.0,691.0,122692.0,391505310.0
Benin,28121.0,163.0,0.0,12992336672.0
Bermuda,18428.0,149.0,0.0,62280790.0
Bhutan,62430.0,21.0,862033.0,769155231.0
Bolivia,1109822.0,22243.0,14565586.0,11955183492.0
Bonaire Sint Eustatius and Saba,11490.0,40.0,0.0,25861712.0
Bosnia and Herzegovina,400185.0,16206.0,93862.0,3181793520.0
Botswana,326344.0,2790.0,10435.0,2522457700.0
Brazil,34803252.0,688739.0,452166237.0,213590995968.0
British Virgin Islands,7305.0,64.0,0.0,30110052.0
Brunei,244617.0,225.0,259735.0,440021960.0
Bulgaria,1283572.0,37954.0,4387607.0,6653097855.0
Burkina Faso,21631.0,387.0,0.0,22197614956.0
Burundi,50574.0,38.0,460.0,12348220514.0
Cambodia,137996.0,3056.0,36482941.0,17136743722.0
Cameroon,123993.0,1965.0,10290.0,27439994786.0
Canada,4419332.0,47642.0,93146693.0,39454140528.0
Cape Verde,62693.0,411.0,7462.0,574773978.0
Cayman Islands,31194.0,37.0,15339.0,67072672.0
Central African Republic,15289.0,113.0,12887.0,5434090152.0
Chad,7631.0,194.0,0.0,17191612640.0
Chile,4838658.0,49717.0,62514948.0,19505717320.0
China,1120799.0,3924.0,3360663000.0,1464386318720.0
Colombia,6311359.0,141862.0,50290307.0,50992169524.0
Comoros,8879.0,163.0,0.0,776534624.0
Congo,24837.0,417.0,1486.0,5815198820.0
Cook Islands,6389.0,1.0,0.0,9231344.0
Costa Rica,1140864.0,9023.0,0.0,5092761788.0
Cote d'Ivoire,87885.0,829.0,2278710.0,27541015944.0
Croatia,1250099.0,17223.0,3797334.0,4002148473.0
Cuba,1111321.0,8531.0,36379530.0,10954317446.0
Curacao,45507.0,293.0,191541.0,186393675.0
Cyprus,606287.0,1210.0,428204.0,878086860.0
Czechia,4176409.0,41743.0,18469185.0,10368062120.0
Democratic Republic of Congo,93467.0,1447.0,42303.0,96831991248.0
Denmark,3343698.0,7380.0,13191840.0,5976375144.0
Djibouti,15690.0,189.0,12179.0,1088346321.0
Dominica,15794.0,74.0,6417.0,70356986.0
Dominican Republic,647717.0,4384.0,13985783.0,11094075148.0
Ecuador,1020861.0,23297.0,36261668.0,17784989976.0
Egypt,515645.0,24798.0,2157499.0,111434056384.0
El Salvador,201877.0,4230.0,4964236.0,6146301210.0
England,0.0,0.0,138291146.0,54570750000.0
Equatorial Guinea,17279.0,183.0,639.0,1631368184.0
Eritrea,10189.0,103.0,0.0,3566151688.0
Estonia,608614.0,2766.0,2081889.0,1345954960.0
Eswatini,73708.0,1422.0,110765.0,1171638000.0
Ethiopia,494185.0,7572.0,23047615.0,120418809728.0
Europe,237517859.0,1971051.0,1342629367.0,764172805878.0
European Union,175805024.0,1169454.0,914902121.0,461850609618.0
Faeroe Islands,34658.0,28.0,34813.0,52320245.0
Falkland Islands,1932.0,0.0,0.0,3626154.0
Fiji,68287.0,880.0,28295.0,947434611.0
Finland,1372651.0,6729.0,1254404.0,5651559900.0
France,37583919.0,158127.0,151189513.0,69508325000.0
French Polynesia,76806.0,649.0,855.0,298940992.0
Gabon,48945.0,306.0,1486.0,2329272075.0
Gambia,12680.0,372.0,429.0,2630227140.0
Georgia,1785138.0,16912.0,1455821.0,3714429920.0
Germany,36033454.0,155609.0,188687886.0,85203976480.0
Ghana,170894.0,1460.0,180950.0,32638973250.0
Gibraltar,20189.0,110.0,92234.0,32186845.0
Greece,5250288.0,33888.0,20864845.0,10301892224.0
Greenland,11972.0,22.0,43336.0,54968662.0
Grenada,19630.0,237.0,1159.0,121318853.0
Guam,0.0,0.0,0.0,142408107.0
Guatemala,1145374.0,19925.0,13486669.0,17861757914.0
Guernsey,0.0,0.0,15931.0,33881015.0
Guinea,38122.0,458.0,1586407.0,13526724624.0
Guinea-Bissau,8848.0,176.0,1658.0,2029779120.0
