location,date,new_cases,new_deaths,new_vaccinations,population
Afghanistan,2020-02,5.0,0.0,0.0,246772632.0
Afghanistan,2020-03,163.0,4.0,0.0,1274991932.0
Afghanistan,2020-04,1661.0,56.0,0.0,1233863160.0
Afghanistan,2020-05,13353.0,194.0,0.0,1274991932.0
Afghanistan,2020-06,16265.0,485.0,0.0,1233863160.0
Afghanistan,2020-07,5183.0,536.0,0.0,1274991932.0
Afghanistan,2020-08,1620.0,131.0,0.0,1274991932.0
Afghanistan,2020-09,1106.0,56.0,0.0,1233863160.0
Afghanistan,2020-10,1980.0,71.0,0.0,1274991932.0
Afghanistan,2020-11,4881.0,230.0,0.0,1233863160.0
Afghanistan,2020-12,6115.0,426.0,0.0,1274991932.0
Afghanistan,2021-01,2693.0,211.0,0.0,1274991932.0
Afghanistan,2021-02,691.0,43.0,0.0,1151605616.0
Afghanistan,2021-03,740.0,41.0,0.0,1274991932.0
Afghanistan,2021-04,3291.0,141.0,0.0,1233863160.0
Afghanistan,2021-05,12093.0,319.0,2859.0,1274991932.0
Afghanistan,2021-06,46821.0,1927.0,4015.0,1233863160.0
Afghanistan,2021-07,28495.0,1837.0,0.0,1274991932.0
Afghanistan,2021-08,6066.0,410.0,0.0,1274991932.0
Afghanistan,2021-09,1954.0,86.0,0.0,1233863160.0
Afghanistan,2021-10,1076.0,76.0,0.0,1274991932.0
Afghanistan,2021-11,1039.0,28.0,0.0,1233863160.0
Afghanistan,2021-12,795.0,48.0,0.0,1274991932.0
Afghanistan,2022-01,4848.0,58.0,6868.0,1274991932.0
Afghanistan,2022-02,10733.0,184.0,0.0,1151605616.0
Afghanistan,2022-03,4088.0,72.0,0.0,1274991932.0
Afghanistan,2022-04,1132.0,13.0,383.0,1233863160.0
Afghanistan,2022-05,1468.0,22.0,0.0,1274991932.0
Afghanistan,2022-06,2181.0,18.0,0.0,1233863160.0
Afghanistan,2022-07,3221.0,25.0,0.0,1274991932.0
Afghanistan,2022-08,7501.0,29.0,0.0,1274991932.0
Afghanistan,2022-09,5938.0,23.0,9447.0,1233863160.0
Afghanistan,2022-10,3875.0,22.0,0.0,1274991932.0
Afghanistan,2022-11,1447.0,7.0,36587.0,534674036.0
Africa,2020-02,3.0,0.0,0.0,24254522438.0
Africa,2020-03,5764.0,198.0,0.0,44228835034.0
Africa,2020-04,32993.0,1436.0,0.0,42802098420.0
Africa,2020-05,108124.0,2588.0,0.0,44228835034.0
Africa,2020-06,258340.0,5924.0,0.0,42802098420.0
Africa,2020-07,523189.0,9537.0,0.0,44228835034.0
Africa,2020-08,324253.0,10132.0,0.0,44228835034.0
Africa,2020-09,229702.0,6083.0,0.0,42802098420.0
Africa,2020-10,303545.0,6993.0,0.0,44228835034.0
